站号,站名,省名,纬度,经度,海拔高度,日照时数,日照距平,同期对比,历史值,去年值
51495,十三间房,新疆,43.2167,91.7333,721.40,5.80,-1.40,-1.50,7.20,7.30
51526,库米什,新疆,42.2333,88.2167,922.40,0,-6.70,-6,6.70,6
51542,巴音布鲁克,新疆,43.0333,84.15,2458,4.60,-1.90,3,6.50,1.60
51559,和静,新疆,42.3167,86.40,1100.90,2.80,-2.90,-1.50,5.70,4.30
51567,焉耆,新疆,42.0833,86.5667,1055.30,3,-3,-2.70,6,5.70
51568,和硕,新疆,42.25,86.80,1085.40,2.30,-4.40,-4,6.70,6.30
51571,托克逊,新疆,42.80,88.6333,1,1.60,-4,-2.90,5.60,4.50
51572,吐鲁番东坎,新疆,42.8333,89.25,-48.70,5.80,0.20,0.30,5.60,5.50
51573,吐鲁番,新疆,42.9333,89.20,34.50,4.10,-1,-2.30,5.10,6.40
51581,鄯善,新疆,42.85,90.2333,398.60,5.90,-0.60,-0.20,6.50,6.10
51627,乌什,新疆,41.2167,79.2333,1395.80,4.10,-2.60,3.30,6.70,0.80
51628,阿克苏,新疆,41.1667,80.2333,1103.80,3.60,-2.90,2.80,6.50,0.80
51629,温宿,新疆,41.2667,80.2333,1132.70,3.60,-2.60,2.50,6.20,1.10
51633,拜城,新疆,41.7833,81.90,1229.20,5.50,-0.90,5.50,6.40,0
51636,新和,新疆,41.55,82.65,1009.80,2.50,-3.30,2.50,5.80,0
51639,沙雅,新疆,41.2333,82.7833,980.40,3.50,-2.50,2.60,6,0.90
51642,轮台,新疆,41.8167,84.2667,982,3.40,-2,3.40,5.40,0
51644,库车,新疆,41.7167,82.9667,1081.90,5.70,0.10,5.70,5.60,0
51655,尉犁,新疆,41.35,86.2667,884.90,3.20,-3.20,-1,6.40,4.20
51656,库尔勒,新疆,41.75,86.1333,931.50,5.40,-0.50,2,5.90,3.40
51704,阿图什,新疆,39.7167,76.1667,1298.70,1,-4.60,1,5.60,0
51705,乌恰,新疆,39.7167,75.25,2175.70,1.50,-4.90,1.50,6.40,0
51707,伽师,新疆,39.50,76.7333,1208.60,5.90,-0.40,5.90,6.30,0
51708,阿克陶,新疆,39.15,75.95,1325.10,6.40,1.40,6.40,5,0
51709,喀什,新疆,39.4667,75.9833,1289.40,6.20,0.40,6.20,5.80,0
51711,阿合奇,新疆,40.9333,78.45,1985.10,4.70,-1.60,4.20,6.30,0.50
51716,巴楚,新疆,39.80,78.5667,1116.50,2.50,-3.60,2.50,6.10,0
51717,岳普湖,新疆,39.25,76.7833,1206.30,6.50,0.60,6.50,5.90,0
51720,柯坪,新疆,40.50,79.05,1161.80,0.40,-6,-0.30,6.40,0.70
51722,阿瓦提,新疆,40.65,80.40,1044.30,1.30,-5.10,1.30,6.40,0
51730,阿拉尔,新疆,40.55,81.2667,1012.20,3.60,-3.10,2,6.70,1.60
51747,塔中,新疆,39,83.6667,1099.30,3.60,32766,1.20,32766,2.40
51765,铁干里克,新疆,40.6333,87.70,846,4.50,-2.20,-1.30,6.70,5.80
51777,若羌,新疆,39.0333,88.1667,887.70,5.60,-0.60,1.10,6.20,4.50
51802,英吉沙,新疆,38.9333,76.1667,1297.50,5.90,0.30,5.90,5.60,0
51804,塔什库尔干,新疆,37.7667,75.2333,3090.10,4.20,-2.20,4.20,6.40,0
51810,麦盖提,新疆,38.9167,77.6333,1178.20,7.60,1.60,7.60,6,0
51811,莎车,新疆,38.4333,77.2667,1231.20,7.10,0.70,5.70,6.40,1.40
51814,叶城,新疆,37.9167,77.40,1360.40,7.80,1.20,6.30,6.60,1.50
51815,泽普,新疆,38.20,77.2667,1274.70,8.10,2,7.60,6.10,0.50
51818,皮山,新疆,37.6167,78.2833,1375.40,6.50,0.60,6.50,5.90,0
51826,策勒,新疆,37.0167,80.80,1336.50,4.60,-0.90,-0.70,5.50,5.30
51827,墨玉,新疆,37.2833,79.7167,1326,5.70,0,3.90,5.70,1.80
51828,和田,新疆,37.1333,79.9333,1375,5.90,0.60,2.10,5.30,3.80
51829,洛浦,新疆,37.0833,80.1667,1347.90,4.80,-0.60,0.90,5.40,3.90
51839,民丰,新疆,37.0667,82.7167,1409.50,3.50,-2.80,-2.70,6.30,6.20
51855,且末,新疆,38.15,85.55,1247.20,5.50,-0.10,1.10,5.60,4.40
51886,茫崖,青海,38.25,90.85,2944.80,6.50,-0.30,-1.60,6.80,8.10
51931,于田,新疆,36.85,81.65,1422,6.80,0.50,0.70,6.30,6.10
52101,巴里坤,新疆,43.60,93.05,1677.20,4.90,-1.80,0.80,6.70,4.10
52112,淖毛湖,新疆,43.7667,95.1333,479,6.30,-1.20,2.60,7.50,3.70
52118,伊吾,新疆,43.2667,94.70,1728.60,6.20,-1.40,0.60,7.60,5.60
52203,哈密,新疆,42.8167,93.5167,737.20,6.80,-0.50,-0.60,7.30,7.40
52267,额济纳旗,内蒙古,41.95,101.0667,940.50,8.50,1,2.30,7.50,6.20
52313,红柳河,新疆,41.5333,94.6667,1573.80,6.30,-1.60,-0.70,7.90,7
52323,马鬃山,甘肃,41.80,97.0333,1770.40,6.40,-1.80,0.80,8.20,5.60
52418,敦煌,甘肃,40.15,94.6833,1139,6.40,-1.10,-0.60,7.50,7
52424,瓜州,甘肃,40.5333,95.7833,1170.90,6.80,-0.40,0.30,7.20,6.50
52436,玉门镇,甘肃,40.2667,97.0333,1526,5.30,-1.80,-1.70,7.10,7
52446,鼎新,甘肃,40.30,99.5167,1177.40,8.70,1.30,1.20,7.40,7.50
52447,金塔,甘肃,40,98.8833,1270.50,6.90,-0.70,1.80,7.60,5.10
52495,巴彦诺尔公,内蒙古,40.1667,104.80,1323.90,8.80,0.90,0.90,7.90,7.90
52515,肃北,甘肃,39.5167,94.8667,2137.20,6.60,-0.50,-2,7.10,8.60
52533,酒泉,甘肃,39.7667,98.4833,1477.20,6.50,-0.80,32766,7.30,32766
52546,高台,甘肃,39.3667,99.8333,1332.20,8,1.20,0.60,6.80,7.40
52557,临泽,甘肃,39.15,100.1667,1453.70,8.70,2.10,0.50,6.60,8.20
52575,雅布赖,内蒙古,39.4167,102.7833,1239.50,8.60,1.50,0.60,7.10,8
52576,阿右旗,内蒙古,39.2167,101.6833,1510.10,8.80,1.50,-0.50,7.30,9.30
52602,冷湖,青海,38.75,93.3333,2770,6.10,-1,-0.90,7.10,7
52607,乌斯太,内蒙古,39.4333,106.65,1252.60,8.10,1.70,-0.10,6.40,8.20
52633,托勒,青海,38.8167,98.4167,3367,8.70,1.90,2.50,6.80,6.20
52643,肃南,甘肃,38.8333,99.6167,2311.80,8.80,2.20,32766,6.60,32766
52645,野牛沟,青海,38.4167,99.5833,3320,6.30,0.10,-0.30,6.20,6.60
52652,张掖,甘肃,39.0833,100.2833,1461.10,7.80,1.30,32766,6.50,32766
52656,民乐,甘肃,38.4333,100.8167,2281.40,7.90,0.80,-0.20,7.10,8.10
52657,祁连,青海,38.1833,100.25,2787.40,9,2.50,2.50,6.50,6.50
52661,山丹,甘肃,38.80,101.0833,1765.50,7.20,1.20,-1.60,6,8.80
52674,永昌,甘肃,38.2333,101.9667,1976.90,7.80,0.60,32766,7.20,32766
52679,武威,甘肃,37.9167,102.6667,1531.50,8.60,2,32766,6.60,32766
52681,民勤,甘肃,38.6333,103.0833,1367.50,8.30,1.20,32766,7.10,32766
52707,小灶火,青海,36.80,93.6833,2767,7.40,0.10,-1.50,7.30,8.90
52713,大柴旦,青海,37.85,95.35,3173.20,8,0.80,-0.50,7.20,8.50
52737,德令哈,青海,37.3667,97.3833,2981.50,8.40,1.50,0.30,6.90,8.10
52745,天峻,青海,37.30,99.0167,3417.10,8.70,1.60,2.20,7.10,6.50
52754,刚察,青海,37.3333,100.1333,3301.50,8.70,1.50,3.40,7.20,5.30
52765,门源,青海,37.3833,101.6167,2850,8.80,2.70,3.80,6.10,5
52784,古浪,甘肃,37.4667,102.90,2072.40,8,2.10,0.20,5.90,7.80
52787,乌鞘岭,甘肃,37.20,102.8667,3045.10,9,2.30,1.50,6.70,7.50
52797,景泰,甘肃,37.1833,104.05,1630.90,8.50,2.50,1.70,6,6.80
52818,格尔木,青海,36.4167,94.9167,2807.60,6.30,-0.60,-0.80,6.90,7.10
52825,诺木洪,青海,36.4333,96.4333,2790.40,8,1,-0.50,7,8.50
52833,乌兰,青海,36.9333,98.4833,2950,7.80,1.60,-1.20,6.20,9
52836,都兰,青海,36.30,98.10,3189,8.20,1.20,-1.10,7,9.30
52842,茶卡,青海,36.7833,99.0833,3087.60,8.30,1.40,-0.20,6.90,8.50
52853,海晏,青海,36.90,100.9833,3010,7.40,0.50,2.50,6.90,4.90
52855,湟源,青海,36.6833,101.25,2675,8.40,2.20,2.50,6.20,5.90
52856,共和,青海,36.2667,100.6167,2835,7.70,0.90,-0.80,6.80,8.50
52862,大通,青海,36.95,101.6833,2450,7.30,1.30,1.20,6,6.10
52863,互助,青海,36.8167,101.95,2480,8.40,2.60,3,5.80,5.40
52866,西宁,青海,36.7333,101.75,2295.20,7.60,1.70,0,5.90,7.60
52868,贵德,青海,36.0333,101.4333,2237.10,8.30,2.40,1.70,5.90,6.60
52869,湟中,青海,36.50,101.5833,2667.50,8.20,2.30,1.30,5.90,6.90
52874,乐都,青海,36.4833,102.40,1980.90,8.20,2.90,0.90,5.30,7.30
52875,平安,青海,36.50,102.10,2125,8,32766,2.60,32766,5.40
52876,民和,青海,36.3333,102.8333,1813.90,7.60,2.60,1.50,5,6.10
52877,化隆,青海,36.10,102.25,2834.70,8.10,2.20,2.40,5.90,5.70
52881,天祝,甘肃,36.9833,103.1833,2484.80,9.10,32766,1.90,32766,7.20
52884,皋兰,甘肃,36.35,103.95,1668.50,8.80,3.50,2.40,5.30,6.40
52885,永登,甘肃,36.75,103.25,2118.80,8.40,2.30,1.90,6.10,6.50
52889,兰州,甘肃,36.05,103.8833,1517.20,7.30,2.50,0.40,4.80,6.90
52895,靖远,甘肃,36.5667,104.6833,1398.20,9,3.10,2.20,5.90,6.80
52896,白银,甘肃,36.55,104.15,1738.70,6.60,0.70,1,5.90,5.60
52908,五道梁,青海,35.2167,93.0833,4612.20,6.90,0.10,0.10,6.80,6.80
52943,兴海,青海,35.5833,99.9833,3323.20,7.40,0.60,-0.30,6.80,7.70
52955,贵南,青海,35.5833,100.7333,3120,8.10,1.70,1.10,6.40,7
52957,同德,青海,35.25,100.60,3148.20,8.30,1.80,2.80,6.50,5.50
52963,尖扎,青海,35.9333,102.0167,2085.70,8.60,3,1.40,5.60,7.20
52968,泽库,青海,35.0333,101.4667,3662.80,7.90,1.60,1.80,6.30,6.10
52972,循化,青海,35.85,102.45,1921,8.20,2.50,1.90,5.70,6.30
52974,同仁,青海,35.5167,102.0167,2491.40,8,2.30,2.10,5.70,5.90
52978,夏河,甘肃,35.20,102.5167,2929.40,8.50,2.80,2.20,5.70,6.30
52980,永靖,甘肃,35.9667,103.30,1648,7.80,2.30,1.50,5.50,6.30
52981,东乡,甘肃,35.6833,103.3833,2421,8.80,3,32766,5.80,32766
52982,广河,甘肃,35.4833,103.55,1953.20,7.80,2,1.60,5.80,6.20
52983,榆中,甘肃,35.8667,104.15,1874.40,8.50,3.30,1.30,5.20,7.20
52984,临夏,甘肃,35.5833,103.1833,1917.20,8.10,3,0.80,5.10,7.30
52985,和政,甘肃,35.4167,103.3333,2162.80,7.80,2.30,0.90,5.50,6.90
52986,临洮,甘肃,35.3667,103.8667,1893.80,8.80,3,0.80,5.80,8
52988,康乐,甘肃,35.3667,103.7167,2015.80,7.80,2.70,32766,5.10,32766
52993,会宁,甘肃,35.6833,105.0667,1739.40,8.30,2.90,1.90,5.40,6.40
52995,安定,甘肃,35.5833,104.6167,1897.20,8.60,3.30,1.50,5.30,7.10
52996,华家岭,甘肃,35.3833,105.0167,2450.60,9.30,3.60,1.20,5.70,8.10
52998,渭源,甘肃,35.1333,104.20,2111,8.60,2.90,3,5.70,5.60
53068,二连浩特,内蒙古,43.6333,111.9333,963.10,8.70,1.20,0.10,7.50,8.60
53083,那仁宝力格,内蒙古,44.6167,114.15,1181.60,8.40,1.10,0.40,7.30,8
53149,满都拉气象站,内蒙古,42.5333,110.1333,1225.20,8.60,0.80,0,7.80,8.60
53192,阿巴嘎旗,内蒙古,44.0167,114.95,1126.10,8.70,1.50,1,7.20,7.70
53195,苏尼特左旗,内蒙古,43.85,113.6333,1036.70,8.90,1.20,0.10,7.70,8.80
53231,海力素,内蒙古,41.40,106.40,1509.60,8.80,1.20,0,7.60,8.80
53272,苏尼特右旗,内蒙古,42.75,112.6333,1104.90,8.10,0.40,0.40,7.70,7.70
53276,朱日和,内蒙古,42.40,112.90,1150.80,7.30,-0.50,-1,7.80,8.30
53289,镶黄旗,内蒙古,42.2333,113.8333,1322.10,7,-0.90,-1.60,7.90,8.60
53324,乌拉特后旗,内蒙古,41.0667,107.05,1035.30,9,1.50,0,7.50,9
53336,乌拉特中旗,内蒙古,41.5667,108.5167,1288,8.20,1.20,0.40,7,7.80
53337,五原,内蒙古,41.10,108.2667,1023.70,7.20,-0.10,-1.30,7.30,8.50
53343,白云鄂博,内蒙古,41.7667,109.9667,1612.20,6.60,-1.20,-2.10,7.80,8.70
53348,大佘太,内蒙古,41.0167,109.1333,1078.70,7.70,-0.10,-0.60,7.80,8.30
53352,达茂旗气象局,内蒙古,41.70,110.4333,1376.60,7,-0.20,-1.40,7.20,8.40
53357,固阳县气象局,内蒙古,41.0333,110.05,1360.40,5.40,-1.60,-2.20,7,7.60
53362,四子王,内蒙古,41.5333,111.6833,1490.10,6.90,-0.30,-2,7.20,8.90
53367,希拉穆仁,内蒙古,41.3167,111.2333,1602.30,8.60,0.60,0,8,8.60
53368,武川县,内蒙古,41.0833,111.4667,1637.30,8,0.90,-0.40,7.10,8.40
53378,察右中旗,内蒙古,41.2833,112.6167,1737.30,7,-0.30,-1.70,7.30,8.70
53384,察右后旗,内蒙古,41.45,113.1833,1423.50,7.70,0.70,-0.30,7,8
53385,商都,内蒙古,41.5667,113.55,1385.20,7.20,-0.20,-1.30,7.40,8.50
53391,化德,内蒙古,41.90,114,1482.70,7.30,0.10,-1.40,7.20,8.70
53392,康保,河北,41.85,114.60,1422.40,7.70,0,-0.60,7.70,8.30
53397,尚义,河北,41.10,113.9833,1376.50,7.20,0.10,0,7.10,7.20
53399,张北,河北,41.15,114.70,1393.30,4.70,-2.70,-1.90,7.40,6.60
53419,磴口,内蒙古,40.3333,107,1055.30,8.50,1.10,-0.40,7.40,8.90
53420,杭锦后旗,内蒙古,40.85,107.1167,1024,8.60,1.20,-0.30,7.40,8.90
53433,乌拉特前旗,内蒙古,40.7333,108.65,1020.40,8,0.40,-0.20,7.60,8.20
53446,包头市,内蒙古,40.5333,109.8833,1004.70,8.50,2.10,0.50,6.40,8
53455,土右旗气象局,内蒙古,40.55,110.5333,998.60,6.60,-0.50,0.40,7.10,6.20
53457,达拉特旗,内蒙古,40.40,110.0333,1011,7.80,0.80,0.20,7,7.60
53463,呼和浩特,内蒙古,40.85,111.5667,1153.50,8.30,2.10,0.90,6.20,7.40
53464,土默特左旗,内蒙古,40.7167,111.1667,1042.70,8.70,1.90,1.30,6.80,7.40
53466,呼和浩特郊区站,内蒙古,40.75,111.70,1045.40,7.90,32766,0.60,32766,7.30
53467,托克托县,内蒙古,40.2667,111.1833,1016,9.40,2.80,4.90,6.60,4.50
53469,和林格尔县,内蒙古,40.40,111.8167,1166.70,8.90,1.30,0.70,7.60,8.20
53472,卓资,内蒙古,40.8667,112.5667,1451.70,7.50,0,2.30,7.50,5.20
53475,凉城,内蒙古,40.5167,112.4667,1268.90,5.70,-1.70,-1.50,7.40,7.20
53478,右玉,山西,40,112.45,1345.80,5.50,-1.60,-1.90,7.10,7.40
53480,集宁,内蒙古,41.0333,113.0667,1419.30,5.70,-1.90,-1.40,7.60,7.10
53481,察右前旗,内蒙古,40.80,113.2167,1316.80,7.90,0.70,1.40,7.20,6.50
53483,兴和,内蒙古,40.8667,113.8333,1268.70,7.80,0.80,-0.50,7,8.30
53484,丰镇,内蒙古,40.45,113.15,1191.50,7.30,0.20,4.70,7.10,2.60
53486,阳高,山西,40.3667,113.7667,1050.30,7.40,0.70,3,6.70,4.40
53487,大同,山西,40.0833,113.4167,1052.60,8.10,1.80,3.10,6.30,5
53488,大同县,山西,40.0333,113.5833,1034.30,8.10,0.50,6.70,7.60,1.40
53490,天镇,山西,40.4333,114.05,1014.70,7,0,0.90,7,6.10
53491,怀安,河北,40.6667,114.3833,837.70,8,0.90,8,7.10,0
53492,阳原,河北,40.10,114.15,937.60,7.40,0.50,1.50,6.90,5.90
53498,宣化,河北,40.5667,115.0333,629.30,5.80,-1.70,5.80,7.50,0
53499,万全,河北,40.7667,114.7333,755.20,8.30,32766,3.50,32766,4.80
53502,吉兰太,内蒙古,39.7833,105.75,1031.80,9,1.30,1.30,7.70,7.70
53505,孪井滩,内蒙古,37.8833,105.40,1380.70,8.30,32766,1.80,32766,6.50
53512,乌海,内蒙古,39.80,106.80,1105.60,7.20,0.10,0.10,7.10,7.10
53513,临河,内蒙古,40.7333,107.3667,1041.10,8.70,1.60,0.10,7.10,8.60
53517,石炭井,宁夏,39.2667,106.3333,1464.50,8.30,1.10,3.10,7.20,5.20
53518,石嘴山,宁夏,39.0333,106.35,1117.70,8.10,1.80,4.90,6.30,3.20
53519,惠农,宁夏,39.2167,106.7667,1092.50,7.30,0.90,1.20,6.40,6.10
53522,伊克乌素,内蒙古,40.05,107.8333,1180.30,7.60,0.10,-0.90,7.50,8.50
53529,鄂托克旗,内蒙古,39.0833,107.9667,1381.40,7.70,1.40,-0.50,6.30,8.20
53533,杭锦旗,内蒙古,39.85,108.7333,1389.50,4.20,-3,-4.70,7.20,8.90
53543,东胜,内蒙古,39.8333,109.9833,1461.90,5.90,-1.40,-2.10,7.30,8
53545,伊金霍洛旗,内蒙古,39.5667,109.7167,1367,5.30,-1.60,-3.10,6.90,8.40
53547,乌审召,内蒙古,39.10,109.0333,1312.20,6.30,-0.50,-2.10,6.80,8.40
53553,准格尔旗,内蒙古,39.8667,111.2167,1221.40,8.30,1.20,32766,7.10,32766
53562,清水河县,内蒙古,39.9167,111.6667,1187.40,8.40,1,2.10,7.40,6.30
53564,河曲,山西,39.3833,111.15,861.50,5.40,-0.10,-1.10,5.50,6.50
53565,偏关,山西,39.4333,111.50,1051.70,0,-5.90,-2.30,5.90,2.30
53567,府谷,陕西,39.0333,111.0833,981,6.50,-0.10,-1.50,6.60,8
53573,左云,山西,40,112.70,1336.30,6.70,-0.40,0.30,7.10,6.40
53574,平鲁,山西,39.5167,112.2667,1409.40,4.20,-2.10,-1.90,6.30,6.10
53575,神池,山西,39.10,112.20,1525.40,3.20,-3.50,-4.20,6.70,7.40
53576,山阴,山西,39.50,112.8167,1045,7.10,0.30,7.10,6.80,0
53577,宁武,山西,39,112.30,1437.40,5.40,-1.60,-0.50,7,5.90
53578,朔州,山西,39.3667,112.4333,1114.80,2.90,-3.30,-2.90,6.20,5.80
53579,代县,山西,39.0167,112.90,859.70,5,-1.70,5,6.70,0
53580,怀仁,山西,39.8167,113.10,1044.60,7,0.20,0.80,6.80,6.20
53582,浑源,山西,39.7167,113.6667,1079.20,5.70,-0.40,5.70,6.10,0
53584,应县,山西,39.5667,113.1667,1000.70,5.20,-1.80,-1.70,7,6.90
53585,繁峙,山西,39.1667,113.2667,933.90,1,-5.50,1,6.50,0
53588,五台山,山西,38.95,113.5167,2208.30,2,-5.40,-5.50,7.40,7.50
53590,广灵,山西,39.75,114.2667,977.80,6.50,-0.70,6.50,7.20,0
53593,蔚县,河北,39.8333,114.5667,909.50,6.50,-0.60,-0.80,7.10,7.30
53594,灵丘,山西,39.45,114.1833,938.70,8,1.10,8,6.90,0
53596,顺平,河北,38.85,115.1333,52.20,6.90,0,6.90,6.90,0
53599,涞源,河北,39.3667,114.6833,884.40,7.90,1,7.90,6.90,0
53602,阿拉善左旗,内蒙古,38.8333,105.6667,1561.40,8.30,1.50,-0.30,6.80,8.60
53603,沙湖,宁夏,38.8333,106.3667,1095,6.30,32766,1.80,32766,4.50
53610,贺兰,宁夏,38.5667,106.35,1106.20,5,-1.10,0.40,6.10,4.60
53611,平罗,宁夏,38.8833,106.55,1098.70,6.90,0.30,0.90,6.60,6
53612,吴忠,宁夏,37.9833,106.1833,1128.80,8.10,2.10,6.30,6,1.80
53614,银川,宁夏,38.4667,106.20,1110.90,7.50,1.90,4,5.60,3.50
53615,陶乐,宁夏,38.80,106.70,1101.60,8,1.70,1.90,6.30,6.10
53617,青铜峡,宁夏,38.0333,106.0833,1118,8.20,1.90,1.30,6.30,6.90
53618,永宁,宁夏,38.2833,106.25,1113.70,8,2.30,2.20,5.70,5.80
53619,灵武,宁夏,38.1167,106.30,1115.90,8.40,2.50,1.90,5.90,6.50
53644,乌审旗,内蒙古,38.60,108.8333,1307.20,8.10,1.70,1.20,6.40,6.90
53646,榆林,陕西,38.2667,109.7833,1157,7.50,1.80,2.20,5.70,5.30
53651,神木,陕西,38.8167,110.4667,1098,9.20,2.80,1.80,6.40,7.40
53658,佳县,陕西,38.0333,110.4833,894.40,3.60,-2.40,3.60,6,0
53659,临县,山西,37.9667,111,1163.30,3.10,-2.90,-0.30,6,3.40
53660,保德,山西,39.0167,111.0833,894.40,2,-3.50,-0.90,5.50,2.90
53662,岢岚,山西,38.7167,111.5833,1396.70,3.90,-2.80,-3.50,6.70,7.40
53663,五寨,山西,38.9167,111.8167,1401,3.60,-2.80,-3.20,6.40,6.80
53664,兴县,山西,38.4667,111.1333,1012.60,3.60,-1.80,-0.40,5.40,4
53665,岚县,山西,38.2833,111.65,1185.10,3.20,-3.40,-2.60,6.60,5.80
53666,静乐,山西,38.35,111.9333,1212.20,4.10,-2.20,4.10,6.30,0
53669,娄烦,山西,38.0833,111.80,1150.30,4.10,-2.10,-0.10,6.20,4.20
53673,原平,山西,38.7333,112.7167,828.20,1.40,-4.70,0.90,6.10,0.50
53674,忻府区,山西,38.40,112.70,869.90,0,-5.90,0,5.90,0
53676,定襄,山西,38.50,112.9833,759.40,3.50,-2.20,3.50,5.70,0
53677,太原北郊,山西,37.9333,112.4833,806.50,3.90,-1.50,3.90,5.40,0
53678,阳曲,山西,38.0667,112.65,897.10,2.30,-3.40,2.30,5.70,0
53679,太原南郊,山西,37.7333,112.55,775.40,8.10,3.20,8.10,4.90,0
53680,灵寿,河北,38.30,114.3833,108.90,5.10,-1.30,5.10,6.40,0
53681,五台县豆村,山西,38.8333,113.3667,1096.20,6.40,-0.10,1.80,6.50,4.60
53682,曲阳,河北,38.6333,114.6833,104.10,7.10,1.20,7.10,5.90,0
53685,盂县,山西,38.0667,113.4167,953.20,1.30,-4.90,1.30,6.20,0
53687,平定,山西,37.7833,113.6333,753,7.40,0.80,7.40,6.60,0
53688,行唐,河北,38.4167,114.55,100.30,6,-0.30,6,6.30,0
53689,晋州,河北,38.0167,115.0667,42.40,0,-6.50,0,6.50,0
53690,阜平,河北,38.85,114.1833,281.90,8.40,1.30,8.40,7.10,0
53691,正定,河北,38.15,114.5667,71,6.20,-0.30,6.20,6.50,0
53692,唐县,河北,38.7333,114.9833,66.50,0,32766,0,32766,0
53693,井陉,河北,38.0333,114.1333,255.50,0,-6.30,0,6.30,0
53694,平山,河北,38.2667,114.2167,131,4.10,-1.60,4.10,5.70,0
53695,新乐,河北,38.35,114.6833,70.80,5.10,-1.20,5.10,6.30,0
53696,定州,河北,38.5167,115,54.80,3,-3.70,3,6.70,0
53697,藁城,河北,38.0333,114.8333,53.50,5.20,-1.50,5.20,6.70,0
53698,石家庄,河北,38.0667,114.35,103.60,0,-6.10,0,6.10,0
53699,无极,河北,38.1833,114.95,45.40,0,-6.60,0,6.60,0
53704,中卫,宁夏,37.5333,105.1833,1225.70,7.60,1,2.20,6.60,5.40
53705,中宁,宁夏,37.4833,105.6833,1183.40,8.40,2.20,4.40,6.20,4
53707,兴仁,宁夏,36.9333,105.25,1697.90,8.40,1.80,3.40,6.60,5
53723,盐池,宁夏,37.80,107.3833,1349.30,7.10,1.20,7.10,5.90,0
53725,定边,陕西,37.5833,107.5833,1360.30,8.20,2.60,3.50,5.60,4.70
53727,麻黄山,宁夏,37.1667,107.1167,1712.50,8.90,2.80,5.80,6.10,3.10
53730,鄂托克前旗,内蒙古,38.1833,107.4833,1333.30,7.70,1.50,4.60,6.20,3.10
53732,河南,内蒙古,37.85,108.7167,1209.90,5.60,-0.40,1.60,6,4
53735,靖边,陕西,37.6167,108.80,1336.70,6.20,0.40,0.10,5.80,6.10
53738,吴旗,陕西,36.9167,108.1667,1331.40,9.20,3.90,5.40,5.30,3.80
53740,横山,陕西,37.9333,109.2333,1111,6.80,0.80,2.50,6,4.30
53748,子长,陕西,37.1833,109.70,1063.30,8.60,2.80,4,5.80,4.60
53750,米脂,陕西,37.7667,110.1833,931,8.90,2.40,3,6.50,5.90
53751,子洲,陕西,37.60,110.05,894.60,8.50,2.80,2.20,5.70,6.30
53753,柳林,山西,37.4333,110.8833,860.10,4.50,-0.80,4.50,5.30,0
53754,绥德,陕西,37.50,110.2167,929.70,9.30,3.30,6.20,6,3.10
53756,吴堡,陕西,37.5167,110.7167,744,7.80,2.30,5.70,5.50,2.10
53757,清涧,陕西,37.1167,110.1167,938,8.90,3.10,6.40,5.80,2.50
53759,石楼,山西,36.9833,110.8333,1109.10,8,2.10,5.90,5.90,2.10
53760,方山,山西,37.8833,111.2333,1212.40,6.90,1.30,0.50,5.60,6.40
53763,太原古交区,山西,37.9167,112.1667,1006.80,7.30,2.10,7.30,5.20,0
53764,离石,山西,37.50,111.10,950.80,8.80,3.30,5.50,5.50,3.30
53767,中阳,山西,37.3333,111.1667,1213.10,6.60,-0.10,3.80,6.70,2.80
53768,孝义,山西,37.15,111.75,773.40,4.30,-1.50,4.30,5.80,0
53769,汾阳,山西,37.25,111.7833,747.70,2.40,-3,2.40,5.40,0
53770,祁县,山西,37.35,112.35,768.80,7.40,2.20,7.40,5.20,0
53771,文水,山西,37.4167,112.05,750,4.50,-0.60,4.50,5.10,0
53772,太原,山西,37.6167,112.5833,776.30,7.70,2.60,4.20,5.10,3.50
53773,临漳,河北,36.3333,114.6167,64.60,0,-5.80,0,5.80,0
53774,清徐,山西,37.6167,112.3333,773.70,8.20,2.70,6.60,5.50,1.60
53775,太谷,山西,37.4333,112.5333,781.90,8.50,2.70,4.10,5.80,4.40
53776,榆次,山西,37.6833,112.7667,831.20,6.20,0.50,1.30,5.70,4.90
53777,交城,山西,37.5333,112.15,759.30,6.50,0.80,1.20,5.70,5.30
53778,平遥,山西,37.1667,112.2167,780.30,7.40,2.10,7.40,5.30,0
53780,寿阳,山西,37.90,113.15,1066.10,5.40,-0.80,2.90,6.20,2.50
53781,沙河,河北,36.8667,114.4667,67.90,4.70,-0.90,4.70,5.60,0
53782,阳泉,山西,37.9333,113.6167,767.20,5.70,-0.10,5.70,5.80,0
53783,昔阳,山西,37.60,113.70,876.20,5.60,-0.70,5.60,6.30,0
53784,赵县,河北,37.75,114.7833,38.50,0,-6.20,0,6.20,0
53785,柏乡,河北,37.5167,114.6667,35,3.50,-2.40,3.50,5.90,0
53786,左权,山西,37.0833,113.3667,1134.60,8.10,2.10,2.90,6,5.20
53788,和顺,山西,37.3333,113.5667,1265.70,7.50,1,3.40,6.50,4.10
53789,栾城,河北,37.8833,114.6333,52.90,0,-6.40,0,6.40,0
53790,高邑,河北,37.60,114.6167,48.90,3.60,-2.50,3.60,6.10,0
53791,元氏,河北,37.7667,114.5167,66.40,0,-6,0,6,0
53792,临城,河北,37.45,114.4833,113,0,-6.70,0,6.70,0
53794,隆尧,河北,37.35,114.75,33.10,0,-6.30,0,6.30,0
