站号,站名,省名,纬度,经度,海拔高度,平均气温,气温距平,同期对比,常年值,去年值
50888,宝清,黑龙江,46.3167,132.1833,83,-18,-2,5,-16,-23
50892,饶河,黑龙江,46.80,134,54.40,-19,1,2,-20,-21
50913,乌拉盖,内蒙古,45.7167,118.8333,865,-20,2,10,-22,-30
50915,东乌珠穆沁,内蒙古,45.5167,116.9667,838.70,-20,0,10,-20,-30
50924,霍林郭勒,内蒙古,45.5333,119.6667,823.70,-19,32766,8,32766,-27
50928,巴雅尔吐胡硕,内蒙古,45.0667,120.3333,628.30,-16,-1,6,-15,-22
50934,突泉,内蒙古,45.3833,121.5833,311.70,-13,0,5,-13,-18
50936,白城,吉林,45.6333,122.8333,155.30,-14,1,5,-15,-19
50937,科尔沁右翼中旗,内蒙古,45.05,121.4667,249.90,-12,0,6,-12,-18
50939,洮南,吉林,45.3333,122.8167,150.80,-13,1,6,-14,-19
50940,镇赉,吉林,45.85,123.1667,141.10,-15,0,4,-15,-19
50945,大安,吉林,45.50,124.2667,137.60,-16,0,5,-16,-21
50946,松原,吉林,45.1833,124.8333,139.80,-14,1,6,-15,-20
50948,乾安,吉林,45,124.0167,146.30,-14,1,5,-15,-19
50949,前郭,吉林,45.0833,124.8667,136.20,-14,1,6,-15,-20
50950,肇州,黑龙江,45.70,125.25,148.70,-16,1,6,-17,-22
50953,哈尔滨,黑龙江,45.9333,126.5667,118.30,-19,-2,2,-17,-21
50954,肇源,黑龙江,45.50,125.0833,127.50,-15,2,7,-17,-22
50955,双城,黑龙江,45.3833,126.30,166.40,-17,0,5,-17,-22
50956,呼兰,黑龙江,46.0833,126.7667,134.50,-19,-1,6,-18,-25
50958,阿城,黑龙江,45.5167,126.95,174.30,-17,1,6,-18,-23
50960,宾县,黑龙江,45.7833,127.45,192.20,-19,-3,4,-16,-23
50962,木兰,黑龙江,45.95,128.0333,112.10,-21,-1,5,-20,-26
50963,通河,黑龙江,45.9667,128.7333,108.60,-19,1,6,-20,-25
50964,方正,黑龙江,45.8333,128.80,119.30,-18,0,4,-18,-22
50965,延寿,黑龙江,45.45,128.2833,155.30,-18,1,8,-19,-26
50968,尚志,黑龙江,45.2167,127.9667,189.70,-15,3,7,-18,-22
50971,七台河,黑龙江,45.7667,131.0167,223.50,-17,32766,2,32766,-19
50973,勃利,黑龙江,45.75,130.60,234.40,-16,-1,3,-15,-19
50978,鸡西,黑龙江,45.30,130.9167,272.50,-14,1,5,-15,-19
50979,林口,黑龙江,45.2667,130.2333,274.70,-16,1,6,-17,-22
50983,虎林,黑龙江,45.7667,132.9667,100.20,-17,0,4,-17,-21
50985,密山,黑龙江,45.55,131.8667,151.70,-15,1,4,-16,-19
50987,鸡东,黑龙江,45.2667,131.10,219.90,-14,1,5,-15,-19
51053,哈巴河,新疆,48.05,86.40,532.60,-8,7,8,-15,-16
51058,阿克达拉,新疆,47.10,87.9667,563.30,-16,-1,9,-15,-25
51059,吉木乃,新疆,47.4333,85.8667,984.10,-10,2,3,-12,-13
51060,布尔津,新疆,47.70,86.8667,473.90,-12,5,10,-17,-22
51068,福海,新疆,47.1167,87.4667,500.90,-16,4,9,-20,-25
51076,阿勒泰,新疆,47.7333,88.0833,735.30,-11,5,8,-16,-19
51087,富蕴,新疆,46.9833,89.5167,807.50,-14,6,7,-20,-21
51133,塔城,新疆,46.7333,83,534.90,-7,3,0,-10,-7
51137,裕民,新疆,46.20,82.9333,715.40,-7,2,-1,-9,-6
51145,额敏,新疆,46.55,83.65,521.60,-8,4,-1,-12,-7
51156,和布克赛尔,新疆,46.7833,85.7167,1291.60,-12,0,3,-12,-15
51186,青河,新疆,46.6667,90.3833,1218.20,-20,1,4,-21,-24
51232,阿拉山口,新疆,45.1833,82.5667,336.10,-18,-3,0,-15,-18
51238,博乐,新疆,44.90,82.0667,531.90,-15,1,2,-16,-17
51241,托里,新疆,45.9333,83.60,1077.80,-9,1,-1,-10,-8
51243,克拉玛依,新疆,45.6167,84.85,449.50,-16,0,2,-16,-18
51288,北塔山,新疆,45.3667,90.5333,1653.70,-12,0,1,-12,-13
51328,霍尔果斯,新疆,44.20,80.4167,770.90,-3,3,-2,-6,-1
51329,霍城,新疆,44.05,80.85,640,-5,2,-5,-7,0
51330,温泉,新疆,44.9667,81.0167,1357.80,-13,0,-1,-13,-12
51334,精河,新疆,44.60,82.90,318.60,-17,-2,1,-15,-18
51346,乌苏,新疆,44.4333,84.6667,478.70,-15,0,2,-15,-17
51352,炮台,新疆,44.85,85.25,337.10,-17,0,0,-17,-17
51353,莫索湾,新疆,45.0167,86.10,346,-18,0,-1,-18,-17
51356,石河子,新疆,44.3167,86.05,442.90,-16,-1,0,-15,-16
51357,沙湾,新疆,44.3333,85.6167,522.20,-15,0,2,-15,-17
51358,乌兰乌苏,新疆,44.2833,85.8167,468.50,-16,0,0,-16,-16
51359,玛纳斯,新疆,44.3167,86.20,471.40,-15,1,1,-16,-16
51365,蔡家湖,新疆,44.20,87.5333,440.50,-17,1,-1,-18,-16
51367,呼图壁,新疆,44.1333,86.8167,522.10,-15,1,1,-16,-16
51368,昌吉,新疆,44.1167,87.3167,515.70,-17,32766,-1,32766,-16
51369,米泉,新疆,43.9667,87.65,600.30,-14,0,1,-14,-15
51377,阜康,新疆,44.1667,87.9167,547,-16,0,-1,-16,-15
51378,吉木萨尔,新疆,44.0167,89.1667,734.90,-16,-2,-2,-14,-14
51379,奇台,新疆,44.0167,89.5667,793.50,-16,1,-3,-17,-13
51430,察布查尔,新疆,43.8333,81.15,602.60,-5,4,-5,-9,0
51431,伊宁,新疆,43.95,81.3333,662.50,-4,3,-4,-7,0
51433,尼勒克,新疆,43.80,82.5167,1105.30,-4,5,0,-9,-4
51434,伊宁县,新疆,43.9667,81.5333,770,-3,2,-2,-5,-1
51435,巩留,新疆,43.4667,82.2333,774.90,-3,5,-2,-8,-1
51436,新源,新疆,43.45,83.30,928.20,-1,4,1,-5,-2
51437,昭苏,新疆,43.15,81.1333,1851,-5,5,1,-10,-6
51438,特克斯,新疆,43.1833,81.7667,1210.40,-3,6,0,-9,-3
51463,乌鲁木齐,新疆,43.7833,87.65,935,-12,0,1,-12,-13
51465,小渠子,新疆,43.4833,87.10,1871.80,-10,0,0,-10,-10
51467,巴仑台,新疆,42.7667,86.3333,1732.40,-7,0,0,-7,-7
51468,天山大西沟,新疆,43.10,86.8333,3539,-13,2,3,-15,-16
51469,乌鲁木齐牧试站,新疆,43.45,87.1833,1930,-9,1,0,-10,-9
51470,天池,新疆,43.8833,88.1167,1942.50,-10,1,0,-11,-10
51477,达坂城,新疆,43.35,88.3167,1103.50,-5,4,5,-9,-10
51482,木垒,新疆,43.8333,90.2833,1271.50,-11,0,-2,-11,-9
51495,十三间房,新疆,43.2167,91.7333,721.40,-4,4,3,-8,-7
51526,库米什,新疆,42.2333,88.2167,922.40,-7,4,9,-11,-16
51542,巴音布鲁克,新疆,43.0333,84.15,2458,-20,5,6,-25,-26
51559,和静,新疆,42.3167,86.40,1100.90,-5,5,7,-10,-12
51567,焉耆,新疆,42.0833,86.5667,1055.30,-5,5,8,-10,-13
51568,和硕,新疆,42.25,86.80,1085.40,-6,5,6,-11,-12
51571,托克逊,新疆,42.80,88.6333,1,-3,4,5,-7,-8
51572,吐鲁番东坎,新疆,42.8333,89.25,-48.70,-2,5,8,-7,-10
51573,吐鲁番,新疆,42.9333,89.20,34.50,-1,5,8,-6,-9
51581,鄯善,新疆,42.85,90.2333,398.60,-4,5,7,-9,-11
51627,乌什,新疆,41.2167,79.2333,1395.80,-3,4,3,-7,-6
51628,阿克苏,新疆,41.1667,80.2333,1103.80,-2,4,5,-6,-7
51629,温宿,新疆,41.2667,80.2333,1132.70,-1,5,5,-6,-6
51633,拜城,新疆,41.7833,81.90,1229.20,-5,6,2,-11,-7
51636,新和,新疆,41.55,82.65,1009.80,-2,4,5,-6,-7
51639,沙雅,新疆,41.2333,82.7833,980.40,-2,4,5,-6,-7
51642,轮台,新疆,41.8167,84.2667,982,-3,3,6,-6,-9
51644,库车,新疆,41.7167,82.9667,1081.90,-3,3,5,-6,-8
51655,尉犁,新疆,41.35,86.2667,884.90,-3,5,5,-8,-8
51656,库尔勒,新疆,41.75,86.1333,931.50,-3,3,8,-6,-11
51701,吐尔尕特,新疆,40.5167,75.40,3504.40,-12,2,0,-14,-12
51704,阿图什,新疆,39.7167,76.1667,1298.70,-1,3,3,-4,-4
51705,乌恰,新疆,39.7167,75.25,2175.70,-5,2,2,-7,-7
51707,伽师,新疆,39.50,76.7333,1208.60,-2,2,3,-4,-5
51708,阿克陶,新疆,39.15,75.95,1325.10,-2,3,4,-5,-6
51709,喀什,新疆,39.4667,75.9833,1289.40,-3,1,2,-4,-5
51711,阿合奇,新疆,40.9333,78.45,1985.10,-6,3,1,-9,-7
51716,巴楚,新疆,39.80,78.5667,1116.50,-2,3,3,-5,-5
51717,岳普湖,新疆,39.25,76.7833,1206.30,-1,3,4,-4,-5
51720,柯坪,新疆,40.50,79.05,1161.80,-3,3,2,-6,-5
51722,阿瓦提,新疆,40.65,80.40,1044.30,-3,3,2,-6,-5
51730,阿拉尔,新疆,40.55,81.2667,1012.20,-3,4,2,-7,-5
51747,塔中,新疆,39,83.6667,1099.30,-6,32766,4,32766,-10
51765,铁干里克,新疆,40.6333,87.70,846,-3,5,5,-8,-8
51777,若羌,新疆,39.0333,88.1667,887.70,-2,4,6,-6,-8
51802,英吉沙,新疆,38.9333,76.1667,1297.50,-2,2,3,-4,-5
51804,塔什库尔干,新疆,37.7667,75.2333,3090.10,-7,3,-4,-10,-3
51810,麦盖提,新疆,38.9167,77.6333,1178.20,-2,2,2,-4,-4
51811,莎车,新疆,38.4333,77.2667,1231.20,-2,2,2,-4,-4
51814,叶城,新疆,37.9167,77.40,1360.40,-2,2,1,-4,-3
51815,泽普,新疆,38.20,77.2667,1274.70,-2,2,1,-4,-3
51818,皮山,新疆,37.6167,78.2833,1375.40,-4,0,0,-4,-4
51826,策勒,新疆,37.0167,80.80,1336.50,-1,2,2,-3,-3
51827,墨玉,新疆,37.2833,79.7167,1326,-1,3,3,-4,-4
51828,和田,新疆,37.1333,79.9333,1375,-1,2,2,-3,-3
51829,洛浦,新疆,37.0833,80.1667,1347.90,0,4,3,-4,-3
51839,民丰,新疆,37.0667,82.7167,1409.50,-1,3,3,-4,-4
51855,且末,新疆,38.15,85.55,1247.20,-2,4,7,-6,-9
51886,茫崖,青海,38.25,90.85,2944.80,-5,4,4,-9,-9
51931,于田,新疆,36.85,81.65,1422,-2,2,1,-4,-3
52101,巴里坤,新疆,43.60,93.05,1677.20,-17,0,-3,-17,-14
52112,淖毛湖,新疆,43.7667,95.1333,479,-7,3,1,-10,-8
52118,伊吾,新疆,43.2667,94.70,1728.60,-16,-4,-2,-12,-14
52203,哈密,新疆,42.8167,93.5167,737.20,-5,4,3,-9,-8
52267,额济纳旗,内蒙古,41.95,101.0667,940.50,-13,-3,-1,-10,-12
52313,红柳河,新疆,41.5333,94.6667,1573.80,-8,3,1,-11,-9
52323,马鬃山,甘肃,41.80,97.0333,1770.40,-15,-4,0,-11,-15
52418,敦煌,甘肃,40.15,94.6833,1139,-5,2,1,-7,-6
52424,瓜州,甘肃,40.5333,95.7833,1170.90,-6,2,3,-8,-9
52436,玉门镇,甘肃,40.2667,97.0333,1526,-9,0,3,-9,-12
52446,鼎新,甘肃,40.30,99.5167,1177.40,-9,-1,3,-8,-12
52447,金塔,甘肃,40,98.8833,1270.50,-8,0,5,-8,-13
52495,巴彦诺尔公,内蒙古,40.1667,104.80,1323.90,-15,-5,-1,-10,-14
52515,肃北,甘肃,39.5167,94.8667,2137.20,-5,2,0,-7,-5
52533,酒泉,甘肃,39.7667,98.4833,1477.20,-9,-1,2,-8,-11
52546,高台,甘肃,39.3667,99.8333,1332.20,-5,3,6,-8,-11
52557,临泽,甘肃,39.15,100.1667,1453.70,-6,2,5,-8,-11
52575,雅布赖,内蒙古,39.4167,102.7833,1239.50,-11,-3,0,-8,-11
52576,阿右旗,内蒙古,39.2167,101.6833,1510.10,-8,-1,2,-7,-10
52602,冷湖,青海,38.75,93.3333,2770,-8,2,2,-10,-10
52607,乌斯太,内蒙古,39.4333,106.65,1252.60,-11,-3,-3,-8,-8
52633,托勒,青海,38.8167,98.4167,3367,-14,1,0,-15,-14
52643,肃南,甘肃,38.8333,99.6167,2311.80,-10,-1,-3,-9,-7
52645,野牛沟,青海,38.4167,99.5833,3320,-15,0,1,-15,-16
52652,张掖,甘肃,39.0833,100.2833,1461.10,-6,2,7,-8,-13
52656,民乐,甘肃,38.4333,100.8167,2281.40,-10,0,-2,-10,-8
52657,祁连,青海,38.1833,100.25,2787.40,-9,2,4,-11,-13
52661,山丹,甘肃,38.80,101.0833,1765.50,-5,3,4,-8,-9
52674,永昌,甘肃,38.2333,101.9667,1976.90,-11,-1,-1,-10,-10
52679,武威,甘肃,37.9167,102.6667,1531.50,-7,0,1,-7,-8
52681,民勤,甘肃,38.6333,103.0833,1367.50,-9,-2,0,-7,-9
52707,小灶火,青海,36.80,93.6833,2767,-4,4,3,-8,-7
52713,大柴旦,青海,37.85,95.35,3173.20,-6,4,2,-10,-8
52737,德令哈,青海,37.3667,97.3833,2981.50,-6,2,2,-8,-8
52745,天峻,青海,37.30,99.0167,3417.10,-7,5,3,-12,-10
52754,刚察,青海,37.3333,100.1333,3301.50,-9,2,2,-11,-11
52765,门源,青海,37.3833,101.6167,2850,-8,2,4,-10,-12
52784,古浪,甘肃,37.4667,102.90,2072.40,-10,-2,-3,-8,-7
52787,乌鞘岭,甘肃,37.20,102.8667,3045.10,-12,-1,-3,-11,-9
52797,景泰,甘肃,37.1833,104.05,1630.90,-6,0,0,-6,-6
52818,格尔木,青海,36.4167,94.9167,2807.60,-2,4,2,-6,-4
52825,诺木洪,青海,36.4333,96.4333,2790.40,-3,4,3,-7,-6
52833,乌兰,青海,36.9333,98.4833,2950,-7,2,1,-9,-8
52836,都兰,青海,36.30,98.10,3189,-7,1,1,-8,-8
52842,茶卡,青海,36.7833,99.0833,3087.60,-5,5,4,-10,-9
52853,海晏,青海,36.90,100.9833,3010,-9,2,1,-11,-10
52855,湟源,青海,36.6833,101.25,2675,-7,2,-1,-9,-6
52856,共和,青海,36.2667,100.6167,2835,-5,2,2,-7,-7
52862,大通,青海,36.95,101.6833,2450,-6,2,0,-8,-6
52863,互助,青海,36.8167,101.95,2480,-7,1,-1,-8,-6
52866,西宁,青海,36.7333,101.75,2295.20,-6,0,1,-6,-7
52868,贵德,青海,36.0333,101.4333,2237.10,-3,1,-1,-4,-2
52869,湟中,青海,36.50,101.5833,2667.50,-7,0,-2,-7,-5
52874,乐都,青海,36.4833,102.40,1980.90,-5,0,-2,-5,-3
52875,平安,青海,36.50,102.10,2125,-5,32766,-1,32766,-4
52876,民和,青海,36.3333,102.8333,1813.90,-4,1,0,-5,-4
52877,化隆,青海,36.10,102.25,2834.70,-8,1,-2,-9,-6
52881,天祝,甘肃,36.9833,103.1833,2484.80,-10,32766,-1,32766,-9
52884,皋兰,甘肃,36.35,103.95,1668.50,-5,3,2,-8,-7
52885,永登,甘肃,36.75,103.25,2118.80,-7,1,-1,-8,-6
52889,兰州,甘肃,36.05,103.8833,1517.20,-1,3,2,-4,-3
52895,靖远,甘肃,36.5667,104.6833,1398.20,-3,3,3,-6,-6
52896,白银,甘肃,36.55,104.15,1738.70,-4,2,1,-6,-5
52908,五道梁,青海,35.2167,93.0833,4612.20,-12,2,3,-14,-15
52943,兴海,青海,35.5833,99.9833,3323.20,-5,4,7,-9,-12
52955,贵南,青海,35.5833,100.7333,3120,-8,0,2,-8,-10
