站号,站名,省名,纬度,经度,海拔高度,平均气温,气温距平,同期对比,常年值,去年值
53492,阳原,河北,40.10,114.15,937.60,-10,-1,-1,-9,-9
53498,宣化,河北,40.5667,115.0333,629.30,-10,-1,1,-9,-11
53499,万全,河北,40.7667,114.7333,755.20,-10,-1,0,-9,-10
53502,吉兰太,内蒙古,39.7833,105.75,1031.80,-12,-4,-1,-8,-11
53505,孪井滩,内蒙古,37.8833,105.40,1380.70,-9,32766,1,32766,-10
53512,乌海,内蒙古,39.80,106.80,1105.60,-11,-4,-1,-7,-10
53513,临河,内蒙古,40.7333,107.3667,1041.10,-14,-6,-1,-8,-13
53517,石炭井,宁夏,39.2667,106.3333,1464.50,-12,-5,-3,-7,-9
53518,石嘴山,宁夏,39.0333,106.35,1117.70,-9,-3,0,-6,-9
53519,惠农,宁夏,39.2167,106.7667,1092.50,-9,-2,-2,-7,-7
53522,伊克乌素,内蒙古,40.05,107.8333,1180.30,-16,-6,-2,-10,-14
53529,鄂托克旗,内蒙古,39.0833,107.9667,1381.40,-14,-5,-3,-9,-11
53533,杭锦旗,内蒙古,39.85,108.7333,1389.50,-17,-7,-6,-10,-11
53543,东胜,内蒙古,39.8333,109.9833,1461.90,-16,-6,-7,-10,-9
53545,伊金霍洛旗,内蒙古,39.5667,109.7167,1367,-15,-5,-6,-10,-9
53547,乌审召,内蒙古,39.10,109.0333,1312.20,-14,-4,-3,-10,-11
53553,准格尔旗,内蒙古,39.8667,111.2167,1221.40,-13,-3,-4,-10,-9
53562,清水河县,内蒙古,39.9167,111.6667,1187.40,-14,-4,-4,-10,-10
53564,河曲,山西,39.3833,111.15,861.50,-12,-2,-4,-10,-8
53565,偏关,山西,39.4333,111.50,1051.70,-11,-1,-4,-10,-7
53567,府谷,陕西,39.0333,111.0833,981,-10,-3,-4,-7,-6
53573,左云,山西,40,112.70,1336.30,-13,-2,-2,-11,-11
53574,平鲁,山西,39.5167,112.2667,1409.40,-13,-3,-3,-10,-10
53575,神池,山西,39.10,112.20,1525.40,-14,-3,-6,-11,-8
53576,山阴,山西,39.50,112.8167,1045,-9,0,-1,-9,-8
53577,宁武,山西,39,112.30,1437.40,-11,-2,-3,-9,-8
53578,朔州,山西,39.3667,112.4333,1114.80,-10,-1,1,-9,-11
53579,代县,山西,39.0167,112.90,859.70,-7,-1,0,-6,-7
53580,怀仁,山西,39.8167,113.10,1044.60,-10,-2,-2,-8,-8
53582,浑源,山西,39.7167,113.6667,1079.20,-11,0,-1,-11,-10
53584,应县,山西,39.5667,113.1667,1000.70,-10,-1,-1,-9,-9
53585,繁峙,山西,39.1667,113.2667,933.90,-9,-1,-1,-8,-8
53588,五台山,山西,38.95,113.5167,2208.30,-15,0,-2,-15,-13
53590,广灵,山西,39.75,114.2667,977.80,-11,0,-2,-11,-9
53593,蔚县,河北,39.8333,114.5667,909.50,-9,1,-1,-10,-8
53594,灵丘,山西,39.45,114.1833,938.70,-7,1,2,-8,-9
53596,顺平,河北,38.85,115.1333,52.20,-2,0,2,-2,-4
53599,涞源,河北,39.3667,114.6833,884.40,-8,-1,2,-7,-10
53602,阿拉善左旗,内蒙古,38.8333,105.6667,1561.40,-11,-4,-4,-7,-7
53603,沙湖,宁夏,38.8333,106.3667,1095,-9,32766,-1,32766,-8
53610,贺兰,宁夏,38.5667,106.35,1106.20,-9,-2,-1,-7,-8
53611,平罗,宁夏,38.8833,106.55,1098.70,-10,-3,-2,-7,-8
53612,吴忠,宁夏,37.9833,106.1833,1128.80,-7,-2,0,-5,-7
53614,银川,宁夏,38.4667,106.20,1110.90,-9,-3,-2,-6,-7
53615,陶乐,宁夏,38.80,106.70,1101.60,-11,-4,-2,-7,-9
53617,青铜峡,宁夏,38.0333,106.0833,1118,-7,-1,2,-6,-9
53618,永宁,宁夏,38.2833,106.25,1113.70,-7,-1,0,-6,-7
53619,灵武,宁夏,38.1167,106.30,1115.90,-7,0,2,-7,-9
53644,乌审旗,内蒙古,38.60,108.8333,1307.20,-12,-4,-6,-8,-6
53646,榆林,陕西,38.2667,109.7833,1157,-10,-3,-4,-7,-6
53651,神木,陕西,38.8167,110.4667,1098,-10,-3,-3,-7,-7
53658,佳县,陕西,38.0333,110.4833,894.40,-7,-1,-1,-6,-6
53659,临县,山西,37.9667,111,1163.30,-8,-2,-5,-6,-3
53660,保德,山西,39.0167,111.0833,894.40,-9,-2,-3,-7,-6
53662,岢岚,山西,38.7167,111.5833,1396.70,-12,-2,-5,-10,-7
53663,五寨,山西,38.9167,111.8167,1401,-13,-1,-3,-12,-10
53664,兴县,山西,38.4667,111.1333,1012.60,-8,0,-3,-8,-5
53665,岚县,山西,38.2833,111.65,1185.10,-9,-1,1,-8,-10
53666,静乐,山西,38.35,111.9333,1212.20,-7,1,0,-8,-7
53669,娄烦,山西,38.0833,111.80,1150.30,-7,0,1,-7,-8
53673,原平,山西,38.7333,112.7167,828.20,-6,0,0,-6,-6
53674,忻府区,山西,38.40,112.70,869.90,-6,2,2,-8,-8
53676,定襄,山西,38.50,112.9833,759.40,-6,2,1,-8,-7
53677,太原北郊,山西,37.9333,112.4833,806.50,-4,0,0,-4,-4
53678,阳曲,山西,38.0667,112.65,897.10,-6,0,-1,-6,-5
53679,太原南郊,山西,37.7333,112.55,775.40,-3,0,1,-3,-4
53680,灵寿,河北,38.30,114.3833,108.90,0,1,3,-1,-3
53681,五台县豆村,山西,38.8333,113.3667,1096.20,-9,-1,1,-8,-10
53682,曲阳,河北,38.6333,114.6833,104.10,-2,1,2,-3,-4
53685,盂县,山西,38.0667,113.4167,953.20,-4,1,5,-5,-9
53687,平定,山西,37.7833,113.6333,753,-3,1,5,-4,-8
53688,行唐,河北,38.4167,114.55,100.30,-1,1,2,-2,-3
53689,晋州,河北,38.0167,115.0667,42.40,-1,1,1,-2,-2
53690,阜平,河北,38.85,114.1833,281.90,-1,2,4,-3,-5
53691,正定,河北,38.15,114.5667,71,0,1,3,-1,-3
53692,唐县,河北,38.7333,114.9833,66.50,-1,1,2,-2,-3
53693,井陉,河北,38.0333,114.1333,255.50,-2,-1,3,-1,-5
53694,平山,河北,38.2667,114.2167,131,-1,1,3,-2,-4
53695,新乐,河北,38.35,114.6833,70.80,-1,1,2,-2,-3
53696,定州,河北,38.5167,115,54.80,-2,0,2,-2,-4
53697,藁城,河北,38.0333,114.8333,53.50,-2,0,1,-2,-3
53698,石家庄,河北,38.0667,114.35,103.60,-1,-1,3,0,-4
53699,无极,河北,38.1833,114.95,45.40,-1,2,2,-3,-3
53704,中卫,宁夏,37.5333,105.1833,1225.70,-6,0,2,-6,-8
53705,中宁,宁夏,37.4833,105.6833,1183.40,-6,0,1,-6,-7
53707,兴仁,宁夏,36.9333,105.25,1697.90,-8,0,-1,-8,-7
53723,盐池,宁夏,37.80,107.3833,1349.30,-10,-3,-1,-7,-9
53725,定边,陕西,37.5833,107.5833,1360.30,-10,-3,-3,-7,-7
53727,麻黄山,宁夏,37.1667,107.1167,1712.50,-10,-3,-3,-7,-7
53730,鄂托克前旗,内蒙古,38.1833,107.4833,1333.30,-11,-3,-1,-8,-10
53732,河南,内蒙古,37.85,108.7167,1209.90,-10,-1,-1,-9,-9
53735,靖边,陕西,37.6167,108.80,1336.70,-10,-3,-6,-7,-4
53738,吴旗,陕西,36.9167,108.1667,1331.40,-6,0,2,-6,-8
53740,横山,陕西,37.9333,109.2333,1111,-9,-2,-2,-7,-7
53748,子长,陕西,37.1833,109.70,1063.30,-5,0,-1,-5,-4
53750,米脂,陕西,37.7667,110.1833,931,-7,0,-2,-7,-5
53751,子洲,陕西,37.60,110.05,894.60,-6,1,-1,-7,-5
53753,柳林,山西,37.4333,110.8833,860.10,-5,0,-2,-5,-3
53754,绥德,陕西,37.50,110.2167,929.70,-6,0,-1,-6,-5
53756,吴堡,陕西,37.5167,110.7167,744,-4,1,1,-5,-5
53757,清涧,陕西,37.1167,110.1167,938,-5,0,0,-5,-5
53759,石楼,山西,36.9833,110.8333,1109.10,-6,0,-4,-6,-2
53760,方山,山西,37.8833,111.2333,1212.40,-9,-1,-4,-8,-5
53763,太原古交区,山西,37.9167,112.1667,1006.80,-5,0,1,-5,-6
53764,离石,山西,37.50,111.10,950.80,-5,1,-2,-6,-3
53767,中阳,山西,37.3333,111.1667,1213.10,-8,-1,-4,-7,-4
53768,孝义,山西,37.15,111.75,773.40,-2,2,4,-4,-6
53769,汾阳,山西,37.25,111.7833,747.70,-2,2,3,-4,-5
53770,祁县,山西,37.35,112.35,768.80,-2,2,3,-4,-5
53771,文水,山西,37.4167,112.05,750,-2,2,3,-4,-5
53772,太原,山西,37.6167,112.5833,776.30,-3,1,1,-4,-4
53773,临漳,河北,36.3333,114.6167,64.60,1,2,3,-1,-2
53774,清徐,山西,37.6167,112.3333,773.70,-3,1,1,-4,-4
53775,太谷,山西,37.4333,112.5333,781.90,-3,1,3,-4,-6
53776,榆次,山西,37.6833,112.7667,831.20,-3,2,1,-5,-4
53777,交城,山西,37.5333,112.15,759.30,-2,2,3,-4,-5
53778,平遥,山西,37.1667,112.2167,780.30,-2,2,4,-4,-6
53780,寿阳,山西,37.90,113.15,1066.10,-6,2,4,-8,-10
53781,沙河,河北,36.8667,114.4667,67.90,0,1,3,-1,-3
53782,阳泉,山西,37.9333,113.6167,767.20,-4,-1,4,-3,-8
53783,昔阳,山西,37.60,113.70,876.20,-3,2,6,-5,-9
53784,赵县,河北,37.75,114.7833,38.50,-1,1,2,-2,-3
53785,柏乡,河北,37.5167,114.6667,35,-1,1,3,-2,-4
53786,左权,山西,37.0833,113.3667,1134.60,-5,2,2,-7,-7
53787,榆社,山西,37.0667,112.9833,1041.40,-3,3,3,-6,-6
53788,和顺,山西,37.3333,113.5667,1265.70,-5,2,4,-7,-9
53789,栾城,河北,37.8833,114.6333,52.90,0,1,3,-1,-3
53790,高邑,河北,37.60,114.6167,48.90,-2,-1,2,-1,-4
53791,元氏,河北,37.7667,114.5167,66.40,-2,0,2,-2,-4
53792,临城,河北,37.45,114.4833,113,0,1,3,-1,-3
53794,隆尧,河北,37.35,114.75,33.10,0,1,3,-1,-3
53795,赞皇,河北,37.65,114.3667,137.40,-1,0,3,-1,-4
53796,宁晋,河北,37.6167,114.8833,30.60,-1,1,2,-2,-3
53797,内邱,河北,37.2833,114.5167,73.90,-1,1,3,-2,-4
53798,邢台,河北,37.0667,114.50,77.30,-1,-1,2,0,-3
53799,巨鹿,河北,37.2333,114.9833,25.90,-1,1,2,-2,-3
53806,海原,宁夏,36.5667,105.65,1854.20,-8,-2,-2,-6,-6
53810,同心,宁夏,36.9667,105.90,1339.30,-5,1,3,-6,-8
53817,固原,宁夏,36,106.2667,1753,-5,2,1,-7,-6
53821,环县,甘肃,36.5667,107.30,1255.60,-3,2,4,-5,-7
53829,庆城,甘肃,35.9833,107.90,1093.70,-1,3,4,-4,-5
53832,志丹,陕西,36.7667,108.7667,1218.80,-5,1,0,-6,-5
53841,安塞,陕西,36.8833,109.3167,1068.30,-5,1,1,-6,-6
53845,延安,陕西,36.5833,109.45,1180.50,-5,-1,0,-4,-5
53848,甘泉,陕西,36.2667,109.35,1005.50,-3,2,3,-5,-6
53850,延川,陕西,36.8833,110.1833,804.90,-3,2,1,-5,-4
53852,永和,山西,36.7667,110.6333,916.60,-4,2,1,-6,-5
53853,隰县,山西,36.70,110.95,1052.70,-4,1,0,-5,-4
53854,延长,陕西,36.5833,110.0667,804.80,-2,3,3,-5,-5
53856,大宁,山西,36.4667,110.75,765.90,-2,3,2,-5,-4
53857,宜川,陕西,36.0667,110.1833,840.30,-1,3,3,-4,-4
53859,吉县,山西,36.10,110.6667,851.30,-1,3,2,-4,-3
53860,交口,山西,36.9833,111.1667,1406.70,-8,-2,-1,-6,-7
53861,襄汾,山西,35.8833,111.3833,463.50,3,5,4,-2,-1
53862,灵石,山西,36.85,111.80,811.70,-2,1,3,-3,-5
53863,介休,山西,37.0333,111.9167,743.90,-1,2,4,-3,-5
53864,蒲县,山西,36.40,111.10,1030.60,-3,3,1,-6,-4
53865,汾西,山西,36.65,111.55,1011.90,-3,0,0,-3,-3
53866,洪洞,山西,36.2333,111.6667,462.80,2,4,3,-2,-1
53868,临汾,山西,36.0667,111.50,449.50,3,4,3,-1,0
53869,霍州,山西,36.5833,111.70,550,0,2,2,-2,-2
53871,武乡,山西,36.8333,112.85,964.10,-2,4,2,-6,-4
53872,沁县,山西,36.7667,112.6833,960.70,-1,4,5,-5,-6
53873,长子,山西,36.10,112.8667,951.10,1,5,6,-4,-5
53874,古县,山西,36.25,111.90,648.70,0,3,1,-3,-1
53875,沁源,山西,36.5167,112.35,1000,-1,5,4,-6,-5
53877,安泽,山西,36.1667,112.25,860.10,-1,4,4,-5,-5
53878,黎城,山西,36.5167,113.3833,767.90,-1,2,4,-3,-5
53879,屯留,山西,36.3167,112.8833,952.30,0,4,5,-4,-5
53880,潞城,山西,36.3333,113.2333,947.60,-1,4,4,-5,-5
53881,韦州,宁夏,37.2833,106.4833,1382.20,-7,-1,1,-6,-8
53882,长治,山西,36.05,113.0667,991.80,0,4,3,-4,-3
53883,任县,河北,37.1333,114.70,36.50,0,2,3,-2,-3
53884,襄垣,山西,36.5167,113.0333,877.90,0,5,4,-5,-4
53885,壶关,山西,36.1167,113.20,1122,-1,4,4,-5,-5
53886,涉县,河北,36.5667,113.6667,470.40,0,1,3,-1,-3
53888,平顺,山西,36.20,113.4333,1089.20,-1,3,4,-4,-5
53889,林州,河南,36.0667,113.8167,306.80,0,1,3,-1,-3
53890,武安,河北,36.6667,114.10,280.10,0,1,4,-1,-4
53891,南和,河北,37.0167,114.6833,43,0,1,4,-1,-4
53892,邯郸,河北,36.6167,114.4667,66.60,1,1,4,0,-3
53893,曲周,河北,36.7667,114.95,39.60,-1,0,1,-1,-2
53894,峰峰,河北,36.40,114.20,149.30,1,0,4,1,-3
53895,永年,河北,36.7833,114.50,60.60,1,2,4,-1,-3
53896,魏县,河北,36.35,114.95,50.10,1,2,3,-1,-2
53897,磁县,河北,36.3833,114.3833,69.70,1,2,4,-1,-3
53898,安阳,河南,36.05,114.40,62.90,2,2,4,0,-2
53899,广平,河北,36.4833,114.9667,48.50,0,1,2,-1,-2
53903,西吉,宁夏,35.9667,105.7167,1916.50,-5,3,4,-8,-9
53906,静宁,甘肃,35.5167,105.7167,1656.40,-3,2,3,-5,-6
53908,通渭,甘肃,35.2167,105.2333,1768.20,-4,2,2,-6,-6
53910,六盘山,宁夏,35.6667,106.20,2841.20,-11,-1,-4,-10,-7
53914,隆德,宁夏,35.6167,106.1167,2078.60,-6,1,-1,-7,-5
53915,崆峒,甘肃,35.55,106.6667,1346.60,-2,2,2,-4,-4
53916,泾源,宁夏,35.50,106.3167,1948.60,-6,0,1,-6,-7
53917,庄浪,甘肃,35.2167,106.0667,1631,-2,2,2,-4,-4
53923,西峰,甘肃,35.7333,107.6333,1421,-2,2,1,-4,-3
53924,灵台,甘肃,35.0667,107.6167,966.60,-1,3,3,-4,-4
53925,镇原,甘肃,35.6833,107.1833,1172.50,0,4,5,-4,-5
53926,泾川,甘肃,35.35,107.35,1028.80,0,3,5,-3,-5
53927,华亭,甘肃,35.20,106.6167,1477.60,-2,4,4,-6,-6
53928,崇信,甘肃,35.30,107.0167,1149.10,0,3,4,-3,-4
53929,长武,陕西,35.20,107.80,1206.50,0,4,4,-4,-4
53930,华池,甘肃,36.45,107.9833,1271,-6,0,1,-6,-7
53931,富县,陕西,36,109.3667,984,-2,3,4,-5,-6
53934,合水,甘肃,35.7833,107.9833,1274.20,-2,2,2,-4,-4
53935,正宁,甘肃,35.4833,108.40,1481.90,-3,0,0,-3,-3
53937,宁县,甘肃,35.5167,107.9167,979.40,-1,3,3,-4,-4
53938,旬邑,陕西,35.1667,108.30,1277,-1,3,3,-4,-4
53941,白水,陕西,35.1833,109.5833,804.40,1,2,3,-1,-2
53942,洛川,陕西,35.7667,109.4167,1155.90,-2,1,1,-3,-3
53944,黄陵,陕西,35.5667,109.25,863,1,32766,4,32766,-3
53945,宜君,陕西,35.4333,109.0667,1395.20,-3,0,0,-3,-3
53946,黄龙,陕西,35.60,109.8167,1091,0,4,4,-4,-4
53947,铜川,陕西,35.0833,109.0667,978.90,1,3,3,-2,-2
53948,蒲城,陕西,34.95,109.5833,499.20,5,4,4,1,1
53949,澄城,陕西,35.1833,109.9167,679.10,2,3,2,-1,0
53950,合阳,陕西,35.2333,110.15,708.80,2,4,2,-2,0
53953,乡宁,山西,35.9667,110.85,965.30,-5,-1,-2,-4,-3
53954,稷山,山西,35.6167,110.9667,433.50,3,4,3,-1,0
53955,韩城,陕西,35.4667,110.45,458.10,4,4,3,0,1
53956,万荣,山西,35.40,110.8333,588.40,2,4,3,-2,-1
53957,河津,山西,35.6167,110.7167,459.20,3,3,3,0,0
53958,临猗,山西,35.1333,110.7833,387.90,4,4,2,0,2
53959,运城,山西,35.05,111.05,365,4,4,3,0,1
53961,曲沃,山西,35.65,111.4833,472.60,2,4,3,-2,-1
53962,翼城,山西,35.7333,111.70,584.50,2,3,2,-1,0
53963,侯马,山西,35.65,111.3667,433.80,3,5,4,-2,-1
53964,新绛,山西,35.6167,111.2167,430.80,4,5,3,-1,1
53965,绛县,山西,35.5167,111.5667,761,1,3,1,-2,0
53966,浮山,山西,35.9833,111.8333,817.20,0,2,1,-2,-1
53967,闻喜,山西,35.3333,111.20,468.30,3,4,4,-1,-1
53968,垣曲,山西,35.2833,111.6667,505,5,4,7,1,-2
53970,沁水,山西,35.70,112.20,887.30,1,4,4,-3,-3
53972,沁阳,河南,35.1167,112.9167,119.60,3,1,4,2,-1
53973,高平,山西,35.7667,112.95,837.30,2,5,6,-3,-4
53974,淇县,河南,35.6167,114.1833,72.30,2,1,3,1,-1
53975,阳城,山西,35.4833,112.40,659.50,4,6,5,-2,-1
53976,晋城,山西,35.50,112.8667,752.60,3,5,5,-2,-2
53978,济源,河南,35.0833,112.6333,140.10,3,2,3,1,0
53979,博爱,河南,35.15,113.0833,120,3,2,2,1,1
53980,肥乡,河北,36.55,114.80,50.20,0,2,2,-2,-2
53981,陵川,山西,35.7833,113.2667,1311.60,-1,4,3,-5,-4
53982,焦作,河南,35.2333,113.2667,112,4,2,2,2,2
53983,封丘,河南,35.0333,114.4167,69.60,2,1,3,1,-1
53984,修武,河南,35.2333,113.4667,82.70,3,2,5,1,-2
53985,辉县,河南,35.50,113.8167,140.70,2,1,1,1,1
53986,新乡,河南,35.3167,113.8833,73.20,3,2,3,1,0
53987,武陟,河南,35.10,113.4167,91,3,2,4,1,-1
53988,获嘉,河南,35.2667,113.6667,77.60,3,2,3,1,0
53989,原阳,河南,35.05,113.95,76.60,2,1,2,1,0
53991,汤阴,河南,35.9167,114.3333,93,1,1,3,0,-2
53992,浚县,河南,35.65,114.5167,58.20,2,2,4,0,-2
53993,内黄,河南,35.9333,114.9167,51.60,1,2,3,-1,-2
53994,卫辉,河南,35.3833,114.0667,70,3,2,3,1,0
53995,滑县,河南,35.55,114.50,62.50,2,2,4,0,-2
53996,成安,河北,36.45,114.65,57.90,0,1,2,-1,-2
53997,延津,河南,35.15,114.1833,71.10,3,2,3,1,0
53998,长垣,河南,35.20,114.65,61.60,2,2,3,0,-1
54012,西乌珠穆沁,内蒙古,44.5833,117.60,1001.70,-20,-1,10,-19,-30
54024,富河,内蒙古,44.45,119.30,710,-16,-2,5,-14,-21
54026,扎鲁特,内蒙古,44.5667,120.90,265,-11,1,6,-12,-17
54027,巴林左旗,内蒙古,43.9833,119.40,486.20,-12,0,5,-12,-17
54031,高力板,内蒙古,44.90,121.8167,198.30,-12,1,6,-13,-18
54039,舍伯吐,内蒙古,44.0333,122.0167,181.60,-11,2,7,-13,-18
54041,通榆,吉林,44.80,123.0667,150,-14,0,5,-14,-19
54047,科左中旗,内蒙古,44.1333,123.2833,145.80,-13,1,6,-14,-19
54049,长岭,吉林,44.25,123.9667,188.90,-13,2,7,-15,-20
54063,扶余,吉林,44.9667,126,196.80,-15,2,5,-17,-20
54064,农安,吉林,44.3833,125.15,170.20,-14,2,8,-16,-22
54065,德惠,吉林,44.5333,125.65,169.10,-15,1,6,-16,-21
54069,九台,吉林,44.1667,125.80,174.50,-14,2,5,-16,-19
54072,榆树,吉林,44.85,126.5167,196.50,-16,1,4,-17,-20
54076,舒兰,吉林,44.3833,126.9333,268.10,-13,4,8,-17,-21
54080,五常,黑龙江,44.90,127.15,194.60,-15,2,6,-17,-21
54092,海林,黑龙江,44.60,129.40,292.10,-13,3,7,-16,-20
54093,穆棱,黑龙江,44.9333,130.55,266.30,-17,0,6,-17,-23
54094,牡丹江,黑龙江,44.5667,129.60,241.40,-13,3,7,-16,-20
54096,绥芬河,黑龙江,44.3833,131.1667,567.80,-12,3,7,-15,-19
54098,宁安,黑龙江,44.3333,129.4667,267.90,-13,4,9,-17,-22
54099,东宁,黑龙江,44.0833,131.1333,148.60,-10,3,7,-13,-17
54102,锡林浩特,内蒙古,43.95,116.1167,1003,-19,0,10,-19,-29
54113,巴林右旗,内蒙古,43.5333,118.65,621.40,-13,0,5,-13,-18
54115,林西县,内蒙古,43.6333,118.0333,825,-15,-2,6,-13,-21
54117,克什克腾旗,内蒙古,43.25,117.5333,1003.30,-16,1,8,-17,-24
54122,阿鲁科尔沁旗,内蒙古,43.8833,120.05,374.90,-12,1,8,-13,-20
54132,青龙山,内蒙古,42.40,121.0667,400,-11,0,5,-11,-16
54134,开鲁,内蒙古,43.60,121.2833,241,-12,0,6,-12,-18
54135,通辽,内蒙古,43.60,122.2667,178.70,-11,1,5,-12,-16
54142,双辽,吉林,43.50,123.5333,114.90,-11,3,7,-14,-18
54154,梨树,吉林,43.35,124.30,160.20,-12,2,5,-14,-17
54155,孤家子,吉林,43.6667,124.2333,144.20,-12,32766,5,32766,-17
54156,公主岭,吉林,43.5167,124.80,200.40,-12,2,6,-14,-18
54157,四平,吉林,43.1667,124.3333,165.70,-10,3,7,-13,-17
54161,长春,吉林,43.90,125.2167,236.80,-12,2,5,-14,-17
54164,伊通,吉林,43.35,125.2833,248.10,-12,4,6,-16,-18
54165,双阳,吉林,43.55,125.6333,219.50,-11,4,8,-15,-19
54169,烟筒山,吉林,43.30,126.0167,271.60,-11,5,7,-16,-18
54171,永吉,吉林,43.70,126.5167,229.50,-12,3,8,-15,-20
54172,吉林城郊,吉林,43.8667,126.5333,290.30,-12,5,5,-17,-17
54181,蛟河,吉林,43.70,127.3333,295,-10,7,10,-17,-20
54186,敦化,吉林,43.3667,128.20,524.90,-10,5,9,-15,-19
54187,安图,吉林,43.1167,128.9167,366.60,-7,7,12,-14,-19
54192,罗子沟,吉林,43.70,130.2667,384.60,-14,32766,9,32766,-23
54204,正镶白旗,内蒙古,42.30,115,1346.30,-19,-2,3,-17,-22
54205,正蓝旗,内蒙古,42.2333,116,1315.50,-18,-1,6,-17,-24
54208,多伦县,内蒙古,42.1833,116.4667,1245.40,-17,0,6,-17,-23
54213,翁牛特旗,内蒙古,42.9333,119.0167,634.30,-14,-2,5,-12,-19
54214,岗子,内蒙古,42.5833,118.4167,960,-15,-2,6,-13,-21
54218,赤峰,内蒙古,42.30,118.8333,668.60,-13,-3,4,-10,-17
54223,奈曼,内蒙古,42.85,120.65,362.90,-12,-1,6,-11,-18
54225,敖汉旗,内蒙古,42.2833,119.9167,588.20,-13,-2,9,-11,-22
54226,宝国吐,内蒙古,42.3333,120.70,400.50,-11,-1,6,-10,-17
54231,科左后旗,内蒙古,42.9667,122.35,248.10,-11,1,5,-12,-16
54234,库伦,内蒙古,42.7333,121.75,297.80,-11,0,5,-11,-16
54236,彰武,辽宁,42.3833,122.55,79.40,-9,2,6,-11,-15
54237,阜新,辽宁,42.0667,121.75,167.80,-9,1,6,-10,-15
54243,昌图,辽宁,42.7833,124.1167,165.10,-10,3,5,-13,-15
54244,康平,辽宁,42.75,123.3333,118.60,-10,2,5,-12,-15
54245,法库,辽宁,42.50,123.40,97.80,-10,2,5,-12,-15
54248,新城子,辽宁,42.0333,123.5333,61.60,-10,32766,4,32766,-14
54249,铁岭,辽宁,42.30,123.8667,85.40,-10,1,4,-11,-14
54252,西丰,辽宁,42.7333,124.75,196.10,-11,5,7,-16,-18
54254,开原,辽宁,42.5333,124.05,98.20,-8,5,6,-13,-14
54259,清原,辽宁,42.10,124.9167,237.20,-8,6,9,-14,-17
54260,辽源,吉林,42.9167,125.0833,252.90,-10,6,9,-16,-19
54261,东丰,吉林,42.6667,125.4667,345.30,-10,7,10,-17,-20
54263,磐石,吉林,42.9667,126.05,336.70,-9,8,10,-17,-19
54266,梅河口,吉林,42.5333,125.6333,340.50,-9,5,9,-14,-18
54267,柳河,吉林,42.25,125.7333,362.30,-9,5,9,-14,-18
54273,桦甸,吉林,42.9833,126.75,263.30,-9,8,12,-17,-21
54274,辉南,吉林,42.6833,125.9833,306.70,-9,8,12,-17,-21
54276,靖宇,吉林,42.40,126.80,570,-9,7,11,-16,-20
54279,江源,吉林,42.05,126.5833,544.40,-9,32766,8,32766,-17
54284,东岗,吉林,42.15,127.50,774.20,-8,7,11,-15,-19
54285,二道,吉林,42.4167,128.1167,721.40,-8,8,14,-16,-22
54286,和龙,吉林,42.5333,129,475.60,-7,5,11,-12,-18
54290,龙井,吉林,42.7667,129.40,241.10,-6,6,11,-12,-17
54291,珲春,吉林,42.90,130.2833,36.50,-5,5,8,-10,-13
54292,延吉,吉林,42.8667,129.50,257.30,-6,6,8,-12,-14
54293,图们,吉林,42.95,129.8333,142.80,-6,5,8,-11,-14
54301,沽源,河北,41.6667,115.6667,1412,-19,-2,3,-17,-22
54304,崇礼,河北,40.95,115.2667,1239.80,-15,-1,0,-14,-15
54305,太仆寺旗,内蒙古,41.8833,115.2667,1468.90,-19,-3,1,-16,-20
54308,丰宁,河北,41.20,116.6333,735.10,-10,0,3,-10,-13
54311,围场,河北,41.9667,117.7667,892.70,-12,0,6,-12,-18
54313,喀喇沁旗,内蒙古,41.9333,118.70,733.70,-11,0,6,-11,-17
54316,八里罕,内蒙古,41.5167,118.75,679.30,-10,0,6,-10,-16
54318,隆化,河北,41.3167,117.7333,561.60,-10,0,3,-10,-13
54319,平泉,河北,41,118.6667,502.30,-9,0,3,-9,-12
54320,宁城县,内蒙古,41.60,119.30,544.20,-11,0,5,-11,-16
54321,建平镇,辽宁,41.8667,119.6333,661.80,-13,0,6,-13,-19
54323,北票,辽宁,41.8167,120.7833,253.80,-8,1,6,-9,-14
54324,朝阳,辽宁,41.55,120.4333,174.30,-7,1,6,-8,-13
54325,羊山,辽宁,41.1833,120.35,183.80,-6,3,8,-9,-14
54326,建平县,辽宁,41.3833,119.70,422,-10,-1,4,-9,-14
54327,凌源,辽宁,41.2333,119.35,417.10,-9,0,4,-9,-13
54328,喀左,辽宁,41.0833,119.7167,296.80,-8,0,5,-8,-13
54330,凌海,辽宁,41.1333,121.3333,45.20,-7,32766,5,32766,-12
54331,北镇,辽宁,41.5833,121.7667,77.10,-7,1,5,-8,-12
54332,辽中,辽宁,41.5167,122.7167,12.20,-8,2,5,-10,-13
54333,新民,辽宁,41.9667,122.85,30.90,-8,2,6,-10,-14
54334,义县,辽宁,41.5167,121.25,74.20,-7,2,5,-9,-12
54335,黑山,辽宁,41.6833,122.0833,37.50,-7,2,6,-9,-13
54336,台安,辽宁,41.4167,122.4167,8.30,-8,1,4,-9,-12
54337,锦州,辽宁,41.1333,121.1167,65.90,-6,1,5,-7,-11
54338,盘山,辽宁,41.2833,121.95,3.20,-7,2,5,-9,-12
54339,鞍山,辽宁,41.0833,123,77.30,-6,2,5,-8,-11
54340,苏家屯,辽宁,41.6667,123.3167,35.80,-8,32766,3,32766,-11
